claim,label,reference_context,reference_explanation
"Setiap pengendara sepeda motor dan penumpangnya wajib mengenakan helm yang memenuhi Standar Nasional Indonesia (SNI).",BENAR,"Setiap orang yang mengemudikan Sepeda Motor dan Penumpang Sepeda Motor wajib mengenakan helm yang memenuhi standar nasional Indonesia.","Berdasarkan Pasal 106 ayat (8) UU Nomor 22 Tahun 2009, baik pengemudi maupun penumpang sepeda motor diwajibkan untuk mengenakan helm yang berstandar nasional Indonesia (SNI)."
"Pengemudi mobil diperbolehkan menggunakan telepon genggam saat berkendara asalkan hanya untuk mengecek peta navigasi.",SALAH,"Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan wajib mengemudikan kendaraannya dengan wajar dan penuh konsentrasi.","Klaim tersebut salah. Pasal 106 ayat (1) mewajibkan pengemudi untuk berkendara dengan penuh konsentrasi. Menggunakan telepon genggam saat kendaraan berjalan dapat mengganggu konsentrasi dan melanggar aturan ini."
"Setiap orang yang mengemudikan kendaraan bermotor di jalan wajib memiliki Surat Izin Mengemudi (SIM) yang sesuai dengan jenis kendaraan yang dikemudikan.",BENAR,"Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan wajib memiliki Surat Izin Mengemudi sesuai dengan jenis Kendaraan Bermotor yang dikemudikan.","Hal ini benar. Pasal 77 ayat (1) UU Lalu Lintas secara tegas mensyaratkan setiap pengemudi untuk memiliki SIM yang sah dan sesuai dengan jenis kendaraannya."
"Pengendara sepeda motor tidak wajib menyalakan lampu utama pada siang hari jika cuaca sangat cerah.",SALAH,"Pengemudi Sepeda Motor selain mematuhi ketentuan sebagaimana dimaksud pada ayat (1) wajib menyalakan lampu utama pada siang hari.","Pernyataan salah karena bertentangan dengan Pasal 107 ayat (2). Aturan tersebut mewajibkan pengendara sepeda motor menyalakan lampu utama pada siang hari dalam kondisi cuaca apa pun tanpa pengecualian."
"Pejalan kaki memiliki hak utama atau prioritas saat menyeberang jalan di tempat penyeberangan (zebra cross).",BENAR,"Pejalan Kaki berhak mendapatkan prioritas pada saat menyeberang Jalan di tempat penyeberangan.","Sesuai dengan Pasal 131 ayat (2), pejalan kaki memang berhak mendapatkan prioritas dari pengemudi kendaraan bermotor pada saat menyeberang di tempat yang telah ditentukan."
"Kendaraan pribadi diperbolehkan memasang dan menggunakan lampu isyarat (strobo) berwarna biru saat mengantar orang sakit.",SALAH,"Lampu isyarat warna merah atau biru sebagaimana dimaksud pada ayat (2) huruf a dan huruf b serta sirene sebagaimana dimaksud pada ayat (1) berfungsi sebagai tanda Kendaraan Bermotor yang memiliki hak utama","Klaim ini salah. Menurut Pasal 59 UU Nomor 22 Tahun 2009, lampu strobo biru khusus digunakan oleh petugas Kepolisian. Warga sipil tidak diperbolehkan menggunakannya meskipun dalam keadaan darurat."
"Pelanggaran lalu lintas yang terekam kamera CCTV tilang elektronik (ETLE) akan langsung mengurangi saldo rekening bank pelanggar.",TIDAK CUKUP INFORMASI,"","Dokumen UU Nomor 22 Tahun 2009 tidak mengatur tentang pemotongan saldo rekening bank secara otomatis untuk pembayaran denda tilang."
"Pengemudi kendaraan bermotor wajib mengutamakan keselamatan pejalan kaki dan pesepeda.",BENAR,"Setiap orang yang mengemudikan Kendaraan Bermotor di Jalan wajib mengutamakan keselamatan Pejalan Kaki dan pesepeda.","Hal tersebut benar. Pasal 106 ayat (2) UU Nomor 22 Tahun 2009 mewajibkan setiap pengemudi kendaraan bermotor untuk mengutamakan keselamatan pejalan kaki dan pesepeda."
"Penggunaan knalpot brong atau bising pada sepeda motor dikenakan denda minimal 5 juta rupiah menurut UU No 22 Tahun 2009.",SALAH,"Setiap orang yang mengemudikan Sepeda Motor di Jalan yang tidak memenuhi persyaratan teknis dan laik jalan yang meliputi kaca spion, klakson, lampu utama, lampu rem, lampu penunjuk arah, alat pemantul cahaya, alat pengukur kecepatan, knalpot, dan kedalaman alur ban sebagaimana dimaksud dalam Pasal 106 ayat (3) juncto Pasal 48 ayat (2)  dan ayat (3) dipidana dengan pidana kurungan paling lama 1 (satu) bulan atau denda paling banyak Rp250.000,00 (dua ratus lima puluh ribu rupiah).","Klaim ini salah pada bagian besaran denda. Menurut Pasal 285 ayat (1), pelanggaran persyaratan teknis laik jalan (termasuk knalpot bising) dipidana dengan denda maksimal Rp250.000, bukan minimal 5 juta rupiah."
"Pembayaran denda tilang lalu lintas saat ini diwajibkan menggunakan aplikasi dompet digital khusus milik pemerintah.",TIDAK CUKUP INFORMASI,"","Dokumen UU Nomor 22 Tahun 2009 tidak memuat informasi spesifik mengenai kewajiban penggunaan aplikasi dompet digital pemerintah untuk pembayaran denda tilang."
